entry_id,resource_name,town,county,listing_type,connection_status,connection_group,public_label,public_url,animation_eligible,check_status,status_code,email_available,phone_available,address_available
travel-guide-111-park-espresso-bar-raton-colfax,111 Park Espresso Bar,Raton,Colfax,Food & drink,profile-live,Hosted profile,Online profile,https://www.facebook.com/111Park/,False,ok,200,False,False,False
2026-get-lit-literary-festival-and-trinidad-art-festival-trinidad-las-animas-writer-ar,2026 GET LIT Literary Festival and Trinidad Art Festival,Trinidad,Las Animas,Arts & culture,profile-live,Hosted profile,Online profile,https://www.trinidadcreativedistrict.org/copy-of-2025-get-lit-literary-festival,False,redirect,200,False,False,False
221b-gallery-las-animas-experimental-multi-disciplinary-gallery,221B Gallery,Trinidad,Las Animas,Arts & culture,direct-live,Direct website,Connect online,https://pug-okra-fbcs.squarespace.com,True,ok,200,True,True,True
2k-design-huerfano-design-maker-vendor,2K Design,Walsenburg,Huerfano,Arts & culture,profile-live,Hosted profile,Online profile,https://www.walsenburgmercantile.com/meet-our-vendors,False,ok,200,False,False,True
yellowpages-lead-38-special-walsenburg-huerfano,38 Special,Walsenburg,Huerfano,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
3rd-times-a-charm-huerfano-maker-vendor,3rd Times A Charm,Walsenburg,Huerfano,Arts & culture,profile-live,Hosted profile,Online profile,https://www.walsenburgmercantile.com/meet-our-vendors,False,ok,200,False,False,True
yellowpages-lead-7-eleven-walsenburg-huerfano,7-Eleven,Walsenburg,Huerfano,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
719-tines-huerfano-local-maker-vendor,719 Tines,Walsenburg,Huerfano,Arts & culture,profile-live,Hosted profile,Online profile,https://www.walsenburgmercantile.com/meet-our-vendors,False,ok,200,False,False,True
yellowpages-lead-87-express-raton-colfax,87 Express,Raton,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/raton-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-a-m-repair-raton-colfax,A & M Repair Co,Raton,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/raton-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-a-cut-above-raton-colfax,A Cut Above,Raton,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/raton-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-a-j-martinez-company-angel-fire-colfax,A J Martinez & Company,Angel Fire,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,False
a-taylor-made-haircut-huerfano-service-personal-care,A Taylor Made Haircut,La Veta,Huerfano,Health & wellness,contact-only,Contact only,No direct website listed,,False,,,False,True,True
travel-guide-a-and-w-walsenburg-huerfano,A&W,Walsenburg,Huerfano,Food & drink,direct-live,Direct website,Connect online,https://awrestaurants.com/locations/colorado/walsenburg/455-us-highway-85,True,ok,200,False,False,True
yellowpages-lead-a-w-all-american-food-walsenburg-huerfano,A&W All-American Food,Walsenburg,Huerfano,Food & drink,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-a-1-automatics-towing-trinidad-las-animas,A-1 Automatics & Towing,Trinidad,Las Animas,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/trinidad-co/business-listings/1,False,ok,200,False,False,False
a-r-mitchell-museum-of-western-art-las-animas-museum-arts,A.R. Mitchell Museum of Western Art,Trinidad,Las Animas,Arts & culture,direct-live,Direct website,Connect online,https://armitchellmuseum.com/,True,ok,200,True,True,True
yellowpages-lead-ace-hardware-aguilar-las-animas,Ace Hardware,Aguilar,Las Animas,Retail & local goods,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/aguilar-co,False,ok,200,False,False,False
ace-hi-tavern-las-animas-bar,Ace-Hi Tavern,Aguilar,Las Animas,Food & drink,address-only,Contact only,No direct website listed,,False,,,False,False,True
yellowpages-lead-acorn-la-veta-huerfano,Acorn,La Veta,Huerfano,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/la-veta-co,False,ok,200,False,False,False
yellowpages-lead-acorn-petroleum-walsenburg-huerfano,Acorn Petroleum Inc,Walsenburg,Huerfano,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-adt-security-walsenburg-huerfano,ADT Security,Walsenburg,Huerfano,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-advance-america-trinidad-las-animas,Advance America,Trinidad,Las Animas,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/trinidad-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-advance-auto-parts-walsenburg-huerfano,Advance Auto Parts,Walsenburg,Huerfano,Auto & transportation,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
advanced-air-llc-colfax-air-transportation,"Advanced Air, LLC",Angel Fire,Colfax,Tourism & visitor info,direct-live,Direct website,Connect online,https://advancedairlines.com/landing-pages/angel-fire-new-mexico/,False,ok,200,True,True,False
yellowpages-lead-advanced-climate-solutions-trinidad-las-animas,Advanced Climate Solutions,Trinidad,Las Animas,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/trinidad-co/business-listings/1,False,ok,200,False,False,False
aguilar-bakery-cafe-las-animas-bakery-cafe,Aguilar Bakery & Cafe,Aguilar,Las Animas,Food & drink,address-only,Contact only,No direct website listed,,False,,,False,False,True
aguilar-bar-grill-las-animas-restaurant-bar,Aguilar Bar & Grill,Aguilar,Las Animas,Food & drink,address-only,Contact only,No direct website listed,,False,,,False,False,True
aguilar-country-cottages-las-animas-lodging,Aguilar Country Cottages,Aguilar,Las Animas,Lodging & stays,direct-unconfirmed,Direct website,Website link,https://aguilarcountrycottages.com,False,network_error,,False,False,True
yellowpages-lead-aguilar-elementary-school-aguilar-las-animas,Aguilar Elementary School,Aguilar,Las Animas,Education & learning,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/aguilar-co,False,ok,200,False,False,False
yellowpages-lead-aguilar-public-library-aguilar-las-animas,Aguilar Public Library,Aguilar,Las Animas,Education & learning,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/aguilar-co,False,ok,200,False,False,False
yellowpages-lead-al-s-gas-service-trinidad-las-animas,Al's Gas Service,Trinidad,Las Animas,Auto & transportation,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/trinidad-co/business-listings/1,False,ok,200,False,False,False
travel-guide-alfonso-s-mexican-food-raton-colfax,Alfonso's Mexican Food,Raton,Colfax,Food & drink,profile-live,Hosted profile,Online profile,https://www.facebook.com/pages/category/Mexican-Restaurant/Alfonsos-Mexican-Food-304976819884382/,False,redirect,200,False,False,False
travel-guide-all-seasons-gift-shop-raton-colfax,All Seasons Gift Shop,Raton,Colfax,Retail & local goods,profile-live,Hosted profile,Online profile,https://www.exploreraton.com/shop,False,ok,200,False,False,False
yellowpages-lead-all-that-is-energy-trinidad-las-animas,All That Is Energy,Trinidad,Las Animas,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/trinidad-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-allegiant-electric-raton-colfax,Allegiant Electric,Raton,Colfax,"Home, land & contracting",profile-live,Hosted profile,Online profile,https://www.yellowpages.com/raton-nm/business-listings/1,False,ok,200,False,False,False
travel-guide-allen-fields-sports-complex-angel-fire-colfax,Allen Fields Sports Complex,Angel Fire,Colfax,Local business or service,profile-unconfirmed,Hosted profile,Listing link,https://visitangelfirenm.com/listing/allen-fields-sports-complex/,False,access_blocked,403,False,False,True
almack-s-kitchen-las-animas-restaurant,AlMack's Kitchen,Trinidad,Las Animas,Food & drink,direct-live,Direct website,Connect online,https://almackskitchen.com,True,redirect,200,False,True,True
yellowpages-lead-alon-springer-colfax,Alon,Springer,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/springer-nm,False,ok,200,False,False,False
travel-guide-alpine-lumber-angel-fire-colfax,Alpine Lumber Company,Angel Fire,Colfax,Retail & local goods,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,True
yellowpages-lead-alta-convenience-raton-colfax,Alta Convenience,Raton,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/raton-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-alta-convenience-springer-colfax,Alta Convenience,Springer,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/springer-nm,False,ok,200,False,False,False
yellowpages-lead-alta-convenience-store-6117-walsenburg-huerfano,Alta Convenience Store #6117,Walsenburg,Huerfano,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
travel-guide-altalune-metaphysical-raton-colfax,Altalune Metaphysical,Raton,Colfax,Retail & local goods,profile-live,Hosted profile,Online profile,https://www.facebook.com/dancingeaglegifts/,False,ok,200,False,False,False
alys-restaurant-huerfano-restaurant-food,Alys' Restaurant,La Veta,Huerfano,Food & drink,direct-live,Direct website,Connect online,https://www.alysrestaurant.com/,True,ok,200,False,True,True
amber-schalla-silver-huerfano-silver-jewelry-vendor,Amber Schalla Silver,Walsenburg,Huerfano,Arts & culture,profile-live,Hosted profile,Online profile,https://www.walsenburgmercantile.com/meet-our-vendors,False,ok,200,False,False,True
america-west-ranches-homes-land-colfax-real-estate,"America West Ranches, Homes & Land",Eagle Nest,Colfax,Professional services,profile-live,Hosted profile,Online profile,https://www.eaglenest.org/water_waste_water/businessdirectory,False,ok,200,False,True,True
yellowpages-lead-american-family-insurance-john-zanotelli-walsenburg-huerfano,American Family Insurance - John Zanotelli,Walsenburg,Huerfano,Professional services,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-american-family-insurance-ryan-k-balfour-walsenburg-huerfano,AMERICAN FAMILY INSURANCE - Ryan K Balfour,Walsenburg,Huerfano,Professional services,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/walsenburg-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-american-legion-raton-colfax,American Legion,Raton,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/raton-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-american-legion-trinidad-las-animas,American Legion,Trinidad,Las Animas,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/trinidad-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-american-paving-concrete-trinidad-las-animas,American Paving and Concrete,Trinidad,Las Animas,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/trinidad-co/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-amtrak-raton-colfax,Amtrak,Raton,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/raton-nm/business-listings/1,False,ok,200,False,False,False
travel-guide-anchor-motel-walsenburg-huerfano,Anchor Motel,Walsenburg,Huerfano,Lodging & stays,direct-live,Direct website,Connect online,https://anchormotelandcottages.com/,True,ok,200,False,True,True
andreatta-beef-huerfano-local-food-producer-vendor,Andreatta Beef,Walsenburg,Huerfano,Food & drink,profile-live,Hosted profile,Online profile,https://www.walsenburgmercantile.com/meet-our-vendors,False,ok,200,False,False,True
yellowpages-lead-angel-fire-accounting-angel-fire-colfax,Angel Fire Accounting,Angel Fire,Colfax,Professional services,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-angel-fire-appraisers-angel-fire-colfax,Angel Fire Appraisers,Angel Fire,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-angel-fire-baptist-church-angel-fire-colfax,Angel Fire Baptist Church,Angel Fire,Colfax,Nonprofit & community,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,False
angel-fire-chamber-artists-galleries-and-studios-directory-angel-fire-colfax-chamber-a,"Angel Fire Chamber Artists, Galleries, and Studios Directory",Angel Fire,Colfax,Arts & culture,direct-live,Direct website,Connect online,https://angelfirechamber.org/business/category/artists-galleries-studios/,False,ok,200,False,False,False
travel-guide-angel-fire-community-center-angel-fire-colfax,Angel Fire Community Center,Angel Fire,Colfax,Nonprofit & community,profile-unconfirmed,Hosted profile,Listing link,https://visitangelfirenm.com/listing/angel-fire-community-center/,False,access_blocked,403,False,False,True
travel-guide-angel-fire-ebikes-angel-fire-colfax,Angel Fire Ebikes LLC,Angel Fire,Colfax,Local business or service,profile-unconfirmed,Hosted profile,Listing link,https://visitangelfirenm.com/listing/angel-fire-ebikes-llc/,False,access_blocked,403,False,False,True
yellowpages-lead-angel-fire-environmental-architectural-control-angel-fire-colfax,Angel Fire Environmental Architectural Control,Angel Fire,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-angel-fire-family-dentistry-angel-fire-colfax,Angel Fire Family Dentistry,Angel Fire,Colfax,Health & wellness,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,False
travel-guide-angel-fire-homes-angel-fire-colfax,Angel Fire Homes,Angel Fire,Colfax,Local business or service,profile-unconfirmed,Hosted profile,Listing link,https://visitangelfirenm.com/listing/angel-fire-homes/,False,access_blocked,403,False,False,True
yellowpages-lead-angel-fire-homes-real-estate-construction-angel-fire-colfax,Angel Fire Homes Real Estate And Construction,Angel Fire,Colfax,"Home, land & contracting",profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,False
yellowpages-lead-angel-fire-mini-mart-angel-fire-colfax,Angel Fire Mini-Mart,Angel Fire,Colfax,Local business or service,profile-live,Hosted profile,Online profile,https://www.yellowpages.com/angel-fire-nm/business-listings/1,False,ok,200,False,False,False
